"#","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","2","1910-1000-ND","RPI-029","RASP PI ZERO W W/SLDR HEADER","","0","24.44000","48.88"
"2","3","S7123-ND","PPPC202LFBN-RC","CONN HDR 40POS 0.1 GOLD PCB","","0","2.38000","7.14"
"3","5","MCP2003BT-E/SNCT-ND","MCP2003BT-E/SN","IC TRANSCEIVER LIN 8SOIC","","0","0.69000","3.45"
"4","3","102-2505-1-ND","V7805-1000-SMT-TR","DC DC CONVERTER 5V 5W","","0","9.35000","28.05"
"5","10","478-1367-1-ND","08055C471KAT2A","CAP CER 470PF 50V X7R 0805","","0","0.22900","2.29"
"6","10","490-5534-1-ND","GRM21A5C2E220JW01D","CAP CER 22PF 250V C0G/NP0 0805","","0","0.22700","2.27"
"7","3","SRR1260-470MCT-ND","SRR1260-470M","FIXED IND 47UH 2.6A 86 MOHM SMD","","0","1.25000","3.75"
"8","10","490-6473-1-ND","GRM21BR61C106KE15K","CAP CER 10UF 16V X5R 0805","","0","0.21600","2.16"
"9","20","311-3.90KCRCT-ND","RC0805FR-073K9L","RES SMD 3.9K OHM 1% 1/8W 0805","","0","0.04300","0.86"
"10","10","311-33.0KCRCT-ND","RC0805FR-0733KL","RES SMD 33K OHM 1% 1/8W 0805","","0","0.04300","0.43"
"11","10","CKN9112CT-ND","PTS645SM43SMTR92 LFS","SWITCH TACTILE SPST-NO 0.05A 12V","","0","0.16500","1.65"
"12","10","311-4.70KCRCT-ND","RC0805FR-074K7L","RES SMD 4.7K OHM 1% 1/8W 0805","","0","0.04300","0.43"
"13","20","1N4148W-FDICT-ND","1N4148W-7-F","DIODE GEN PURP 100V 300MA SOD123","","0","0.16600","3.32"
"14","10","311-1.00KCRCT-ND","RC0805FR-071KL","RES SMD 1K OHM 1% 1/8W 0805","","0","0.04300","0.43"
"15","10","RSB36VTE-17CT-ND","RSB36VTE-17","TVS DIODE 27V UMD2","","0","0.40200","4.02"
"16","10","CAT24C32WI-GT3CT-ND","CAT24C32WI-GT3","IC EEPROM 32K I2C 1MHZ 8SOIC","","0","0.19700","1.97"
"17","3","563-1003-1-ND","CHS-01TA","SWITCH SLIDE DIP SPST 100MA 6V","","0","1.07000","3.21"
"18","10","478-1274-1-ND","08052A221JAT2A","CAP CER 220PF 200V C0G/NP0 0805","","0","0.25900","2.59"
"19","10","311-47ARCT-ND","RC0805JR-0747RL","RES SMD 47 OHM 5% 1/8W 0805","","0","0.03700","0.37"